capture_id,image_path_rel,question__species,is_empty
KGA_S1#A01#1#1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0001.JPG,human,0
KGA_S1#A01#1#1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0002.JPG,human,0
KGA_S1#A01#1#1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0003.JPG,human,0
KGA_S1#A01#1#2,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0004.JPG,human,0
KGA_S1#A01#1#2,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0005.JPG,human,0
KGA_S1#A01#1#2,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0006.JPG,human,0
KGA_S1#A01#1#3,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0007.JPG,blank,1
KGA_S1#A01#1#3,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0008.JPG,blank,1
KGA_S1#A01#1#3,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0009.JPG,blank,1
KGA_S1#A01#1#4,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0010.JPG,blank,1
KGA_S1#A01#1#4,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0011.JPG,blank,1
KGA_S1#A01#1#4,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0012.JPG,blank,1
KGA_S1#A01#1#5,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0013.JPG,blank,1
KGA_S1#A01#1#5,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0014.JPG,blank,1
KGA_S1#A01#1#5,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0015.JPG,blank,1
KGA_S1#A01#1#8,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0018.JPG,gemsbokoryx,0
KGA_S1#A01#1#9,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0019.JPG,gemsbokoryx,0
KGA_S1#A01#1#10,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0020.JPG,gemsbokoryx,0
KGA_S1#A01#1#11,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0021.JPG,gemsbokoryx,0
KGA_S1#A01#1#12,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0022.JPG,gemsbokoryx,0
KGA_S1#A01#1#13,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0023.JPG,gemsbokoryx,0
KGA_S1#A01#1#14,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0024.JPG,gemsbokoryx,0
KGA_S1#A01#1#15,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0025.JPG,gemsbokoryx,0
KGA_S1#A01#1#16,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0026.JPG,gemsbokoryx,0
KGA_S1#A01#1#17,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0027.JPG,gemsbokoryx,0
KGA_S1#A01#1#18,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0028.JPG,gemsbokoryx,0
KGA_S1#A01#1#19,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0029.JPG,gemsbokoryx,0
KGA_S1#A01#1#20,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0030.JPG,gemsbokoryx,0
KGA_S1#A01#1#21,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0031.JPG,gemsbokoryx,0
KGA_S1#A01#1#24,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0034.JPG,gemsbokoryx,0
KGA_S1#A01#1#24,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0035.JPG,gemsbokoryx,0
KGA_S1#A01#1#24,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0036.JPG,gemsbokoryx,0
KGA_S1#A01#1#25,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0037.JPG,gemsbokoryx,0
KGA_S1#A01#1#25,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0038.JPG,gemsbokoryx,0
KGA_S1#A01#1#25,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0039.JPG,gemsbokoryx,0
KGA_S1#A01#1#26,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0040.JPG,gemsbokoryx,0
KGA_S1#A01#1#26,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0041.JPG,gemsbokoryx,0
KGA_S1#A01#1#26,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0042.JPG,gemsbokoryx,0
KGA_S1#A01#1#27,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0043.JPG,gemsbokoryx,0
KGA_S1#A01#1#27,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0044.JPG,gemsbokoryx,0
KGA_S1#A01#1#27,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0045.JPG,gemsbokoryx,0
KGA_S1#A01#1#28,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0046.JPG,gemsbokoryx,0
KGA_S1#A01#1#28,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0047.JPG,gemsbokoryx,0
KGA_S1#A01#1#28,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0048.JPG,gemsbokoryx,0
KGA_S1#A01#1#29,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0049.JPG,gemsbokoryx,0
KGA_S1#A01#1#29,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0050.JPG,gemsbokoryx,0
KGA_S1#A01#1#29,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0051.JPG,gemsbokoryx,0
KGA_S1#A01#1#30,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0052.JPG,gemsbokoryx,0
KGA_S1#A01#1#30,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0053.JPG,gemsbokoryx,0
KGA_S1#A01#1#30,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0054.JPG,gemsbokoryx,0
KGA_S1#A01#1#31,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0055.JPG,gemsbokoryx,0
